t,surface,4mm,diameter
1,43.84,37.34,2
2,48.07,37.68,2
3,51.07,38.02,2
4,53.42,38.36,2
5,55.37,38.71,2
6,57.03,39.06,2
7,58.48,39.4,2
8,59.78,39.75,2
9,60.94,40.11,2
10,62.01,40.46,2
11,62.99,40.81,2
12,63.9,41.17,2
13,64.74,41.53,2
14,65.53,41.89,2
15,66.28,42.26,2
16,66.98,42.62,2
17,67.64,42.99,2
18,68.28,43.36,2
19,68.88,43.73,2
20,69.45,44.11,2
21,70,44.48,2
22,70.53,44.86,2
23,71.03,45.24,2
24,71.52,45.62,2
25,71.99,46.01,2
26,72.44,46.39,2
27,72.88,46.78,2
28,73.3,47.16,2
29,73.71,47.55,2
30,74.11,47.94,2
31,74.49,48.33,2
32,74.86,48.72,2
33,75.23,49.11,2
34,75.58,49.5,2
35,75.92,49.9,2
36,76.26,50.29,2
37,76.58,50.68,2
38,76.9,51.07,2
39,77.21,51.46,2
40,77.51,51.85,2
41,77.81,52.25,2
42,78.1,52.64,2
43,78.38,53.03,2
44,78.66,53.42,2
45,78.93,53.8,2
46,79.19,54.19,2
47,79.45,54.58,2
48,79.71,54.97,2
49,79.96,55.35,2
50,80.2,55.74,2
51,80.44,56.12,2
52,80.68,56.5,2
53,80.91,56.88,2
54,81.12,57.26,2
55,81.32,57.64,2
56,81.49,58.02,2
57,81.64,58.4,2
58,81.76,58.77,2
59,81.86,59.14,2
60,81.94,59.51,2
61,82.01,59.88,2
62,82.07,60.25,2
63,82.12,60.62,2
64,82.16,60.99,2
65,82.2,61.35,2
66,82.24,61.71,2
67,82.26,62.07,2
68,82.29,62.43,2
69,82.31,62.79,2
70,82.33,63.14,2
71,82.35,63.5,2
72,82.37,63.85,2
73,82.39,64.2,2
74,82.4,64.55,2
75,82.41,64.89,2
76,82.43,65.23,2
77,82.44,65.57,2
78,82.45,65.91,2
79,82.45,66.25,2
80,82.46,66.58,2
81,82.47,66.92,2
82,82.48,67.24,2
83,82.48,67.57,2
84,82.49,67.9,2
85,82.49,68.22,2
86,82.5,68.54,2
87,82.5,68.85,2
88,82.51,69.17,2
89,82.51,69.48,2
90,82.51,69.79,2
91,82.52,70.1,2
92,82.52,70.4,2
93,82.52,70.7,2
94,82.53,71,2
95,82.53,71.3,2
96,82.53,71.59,2
97,82.53,71.88,2
98,82.54,72.17,2
99,82.54,72.46,2
100,82.54,72.74,2
101,82.54,73.02,2
102,82.54,73.3,2
103,82.54,73.58,2
104,82.54,73.85,2
105,82.55,74.12,2
106,82.55,74.39,2
107,82.55,74.65,2
108,82.55,74.92,2
109,82.55,75.18,2
110,82.55,75.43,2
111,82.55,75.69,2
112,82.55,75.94,2
113,82.55,76.19,2
114,82.55,76.44,2
115,82.56,76.68,2
116,82.56,76.92,2
117,82.56,77.16,2
118,82.56,77.4,2
119,82.56,77.64,2
120,82.56,77.87,2
121,82.56,78.1,2
122,82.56,78.33,2
123,82.56,78.55,2
124,82.56,78.77,2
125,82.56,78.99,2
126,82.56,79.21,2
127,82.56,79.43,2
128,82.56,79.64,2
129,82.56,79.85,2
130,82.56,80.06,2
131,82.56,80.27,2
132,82.56,80.47,2
133,82.56,80.68,2
134,82.56,80.88,2
135,82.56,81.08,2
136,82.56,81.27,2
137,82.56,81.47,2
138,82.56,81.66,2
139,82.56,81.85,2
140,82.56,82.04,2
141,82.56,82.22,2
142,82.56,82.4,2
143,82.56,82.59,2
144,82.56,82.77,2
145,82.56,82.94,2
146,82.56,83.12,2
147,82.56,83.29,2
148,82.56,83.47,2
149,82.56,83.64,2
150,82.56,83.8,2
151,82.56,83.97,2
152,82.56,84.14,2
153,82.56,84.3,2
154,82.57,84.46,2
155,82.57,84.62,2
156,82.57,84.78,2
157,82.57,84.93,2
158,82.57,85.09,2
159,82.57,85.24,2
160,82.57,85.39,2
161,82.57,85.54,2
162,82.57,85.69,2
163,82.57,85.83,2
164,82.57,85.98,2
165,82.57,86.12,2
166,82.57,86.26,2
167,82.57,86.4,2
168,82.57,86.54,2
169,82.57,86.67,2
170,82.57,86.81,2
171,82.57,86.94,2
172,82.57,87.08,2
173,82.57,87.21,2
174,82.57,87.34,2
175,82.57,87.46,2
176,82.57,87.59,2
177,82.57,87.71,2
178,82.57,87.84,2
179,82.57,87.96,2
180,82.57,88.08,2
1,38.76,37.81,3
2,39.36,38.62,3
3,39.76,39.44,3
4,40.07,40.28,3
5,40.33,41.12,3
6,40.55,41.97,3
7,40.74,42.82,3
8,40.91,43.69,3
9,41.06,44.55,3
10,41.2,45.42,3
11,41.33,46.28,3
12,41.45,47.15,3
13,41.56,48,3
14,41.66,48.86,3
15,41.76,49.7,3
16,41.85,50.54,3
17,41.94,51.37,3
18,42.02,52.19,3
19,42.1,52.99,3
20,42.18,53.79,3
21,42.25,54.58,3
22,42.32,55.36,3
23,42.39,56.12,3
24,42.45,56.88,3
25,42.51,57.63,3
26,42.57,58.36,3
27,42.63,59.08,3
28,42.69,59.8,3
29,42.74,60.5,3
30,42.79,61.19,3
31,42.84,61.87,3
32,42.89,62.55,3
33,42.94,63.21,3
34,42.99,63.86,3
35,43.03,64.51,3
36,43.08,65.14,3
37,43.12,65.77,3
38,43.16,66.38,3
39,43.21,66.99,3
40,43.25,67.59,3
41,43.28,68.18,3
42,43.32,68.77,3
43,43.36,69.34,3
44,43.4,69.91,3
45,43.43,70.47,3
46,43.47,71.02,3
47,43.5,71.57,3
48,43.54,72.11,3
49,43.57,72.64,3
50,43.6,73.16,3
51,43.63,73.68,3
52,43.67,74.19,3
53,43.7,74.7,3
54,43.73,75.19,3
55,43.76,75.69,3
56,43.79,76.17,3
57,43.81,76.65,3
58,43.84,77.13,3
59,43.87,77.6,3
60,43.9,78.06,3
61,43.92,78.52,3
62,43.95,78.97,3
63,43.98,79.42,3
64,44,79.86,3
65,44.03,80.3,3
66,44.05,80.73,3
67,44.08,81.16,3
68,44.1,81.58,3
69,44.12,82,3
70,44.15,82.41,3
71,44.17,82.82,3
72,44.19,83.22,3
73,44.22,83.62,3
74,44.24,84.02,3
75,44.26,84.41,3
76,44.28,84.8,3
77,44.3,85.18,3
78,44.32,85.56,3
79,44.34,85.94,3
80,44.36,86.31,3
81,44.39,86.68,3
82,44.4,87.05,3
83,44.42,87.41,3
84,44.44,87.76,3
85,44.46,88.12,3
86,44.48,88.47,3
87,44.5,88.82,3
88,44.52,89.16,3
89,44.54,89.5,3
90,44.56,89.84,3
91,44.57,90.17,3
92,44.59,90.5,3
93,44.61,90.83,3
94,44.63,91.16,3
95,44.64,91.48,3
96,44.66,91.8,3
97,44.68,92.12,3
98,44.69,92.43,3
99,44.71,92.74,3
100,44.72,93.04,3
101,44.74,93.33,3
102,44.75,93.62,3
103,44.76,93.9,3
104,44.77,94.16,3
105,44.78,94.42,3
106,44.79,94.67,3
107,44.8,94.91,3
108,44.8,95.13,3
109,44.81,95.36,3
110,44.82,95.57,3
111,44.82,95.77,3
112,44.82,95.97,3
113,44.83,96.16,3
114,44.83,96.35,3
115,44.83,96.52,3
116,44.84,96.69,3
117,44.84,96.86,3
118,44.84,97.01,3
119,44.84,97.16,3
120,44.85,97.31,3
121,44.85,97.44,3
122,44.85,97.58,3
123,44.85,97.71,3
124,44.85,97.83,3
125,44.85,97.95,3
126,44.86,98.07,3
127,44.86,98.19,3
128,44.86,98.3,3
129,44.86,98.41,3
130,44.86,98.51,3
131,44.86,98.61,3
132,44.86,98.7,3
133,44.86,98.78,3
134,44.86,98.86,3
135,44.86,98.93,3
136,44.87,99,3
137,44.87,99.07,3
138,44.87,99.13,3
139,44.87,99.19,3
140,44.87,99.25,3
141,44.87,99.31,3
142,44.87,99.37,3
143,44.87,99.42,3
144,44.87,99.47,3
145,44.87,99.52,3
146,44.87,99.57,3
147,44.87,99.62,3
148,44.87,99.67,3
149,44.87,99.72,3
150,44.87,99.76,3
151,44.87,99.81,3
152,44.87,99.85,3
153,44.87,99.89,3
154,44.87,99.93,3
155,44.87,99.97,3
156,44.87,100,3
157,44.87,100,3
158,44.87,100,3
159,44.87,100,3
160,44.87,100,3
161,44.88,100,3
162,44.88,100,3
163,44.88,100,3
164,44.88,100,3
165,44.88,100,3
166,44.88,100,3
167,44.88,100,3
168,44.88,100,3
169,44.88,100,3
170,44.88,100,3
171,44.88,100,3
172,44.88,100,3
173,44.88,100,3
174,44.88,100,3
175,44.88,100,3
176,44.88,100,3
177,44.88,100,3
178,44.88,100,3
179,44.88,100,3
180,44.88,100,3
1,38.17,37.84,4
2,38.6,38.69,4
3,38.89,39.55,4
4,39.12,40.42,4
5,39.31,41.3,4
6,39.47,42.18,4
7,39.61,43.07,4
8,39.74,43.95,4
9,39.85,44.83,4
10,39.96,45.71,4
11,40.06,46.57,4
12,40.15,47.43,4
13,40.23,48.27,4
14,40.31,49.1,4
15,40.39,49.92,4
16,40.46,50.73,4
17,40.52,51.52,4
18,40.59,52.29,4
19,40.65,53.06,4
20,40.71,53.81,4
21,40.76,54.54,4
22,40.82,55.26,4
23,40.87,55.97,4
24,40.92,56.67,4
25,40.97,57.35,4
26,41.01,58.03,4
27,41.06,58.68,4
28,41.1,59.33,4
29,41.14,59.97,4
30,41.18,60.59,4
31,41.22,61.21,4
32,41.26,61.81,4
33,41.3,62.4,4
34,41.34,62.99,4
35,41.37,63.56,4
36,41.41,64.12,4
37,41.44,64.68,4
38,41.47,65.22,4
39,41.5,65.76,4
40,41.54,66.29,4
41,41.57,66.81,4
42,41.6,67.32,4
43,41.62,67.82,4
44,41.65,68.32,4
45,41.68,68.81,4
46,41.71,69.29,4
47,41.74,69.77,4
48,41.76,70.23,4
49,41.79,70.7,4
50,41.81,71.15,4
51,41.84,71.6,4
52,41.86,72.04,4
53,41.89,72.48,4
54,41.91,72.91,4
55,41.93,73.33,4
56,41.96,73.75,4
57,41.98,74.16,4
58,42,74.57,4
59,42.02,74.97,4
60,42.04,75.37,4
61,42.07,75.76,4
62,42.09,76.15,4
63,42.11,76.53,4
64,42.13,76.91,4
65,42.15,77.29,4
66,42.17,77.65,4
67,42.18,78.02,4
68,42.2,78.38,4
69,42.22,78.73,4
70,42.24,79.09,4
71,42.26,79.43,4
72,42.28,79.78,4
73,42.29,80.12,4
74,42.31,80.45,4
75,42.33,80.79,4
76,42.34,81.11,4
77,42.36,81.44,4
78,42.38,81.76,4
79,42.39,82.08,4
80,42.41,82.39,4
81,42.43,82.7,4
82,42.44,83.01,4
83,42.46,83.32,4
84,42.47,83.62,4
85,42.49,83.92,4
86,42.5,84.21,4
87,42.52,84.5,4
88,42.53,84.79,4
89,42.55,85.08,4
90,42.56,85.36,4
91,42.57,85.65,4
92,42.59,85.92,4
93,42.6,86.2,4
94,42.61,86.47,4
95,42.63,86.74,4
96,42.64,87.01,4
97,42.65,87.28,4
98,42.67,87.54,4
99,42.68,87.8,4
100,42.69,88.06,4
101,42.71,88.31,4
102,42.72,88.57,4
103,42.73,88.82,4
104,42.74,89.06,4
105,42.75,89.31,4
106,42.77,89.56,4
107,42.78,89.8,4
108,42.79,90.04,4
109,42.8,90.27,4
110,42.81,90.51,4
111,42.82,90.74,4
112,42.84,90.98,4
113,42.85,91.21,4
114,42.86,91.43,4
115,42.87,91.66,4
116,42.88,91.88,4
117,42.89,92.11,4
118,42.9,92.33,4
119,42.91,92.54,4
120,42.92,92.76,4
121,42.93,92.98,4
122,42.94,93.19,4
123,42.95,93.4,4
124,42.96,93.61,4
125,42.97,93.82,4
126,42.98,94.03,4
127,42.99,94.23,4
128,43,94.43,4
129,43.01,94.64,4
130,43.02,94.84,4
131,43.03,95.03,4
132,43.04,95.23,4
133,43.05,95.43,4
134,43.06,95.62,4
135,43.07,95.81,4
136,43.08,96,4
137,43.09,96.19,4
138,43.09,96.38,4
139,43.1,96.57,4
140,43.11,96.75,4
141,43.12,96.94,4
142,43.13,97.12,4
143,43.14,97.3,4
144,43.15,97.48,4
145,43.16,97.66,4
146,43.16,97.84,4
147,43.17,98.02,4
148,43.18,98.19,4
149,43.19,98.36,4
150,43.2,98.54,4
151,43.2,98.71,4
152,43.21,98.88,4
153,43.22,99.04,4
154,43.23,99.17,4
155,43.24,99.28,4
156,43.24,99.38,4
157,43.25,99.47,4
158,43.26,99.55,4
159,43.27,99.63,4
160,43.27,99.7,4
161,43.28,99.76,4
162,43.28,99.83,4
163,43.29,99.89,4
164,43.29,99.95,4
165,43.3,100,4
166,43.3,100,4
167,43.3,100,4
168,43.31,100,4
169,43.31,100,4
170,43.31,100,4
171,43.31,100,4
172,43.32,100,4
173,43.32,100,4
174,43.32,100,4
175,43.32,100,4
176,43.33,100,4
177,43.33,100,4
178,43.33,100,4
179,43.33,100,4
180,43.33,100,4
1,37.85,37.63,5
2,38.17,38.27,5
3,38.4,38.91,5
4,38.57,39.55,5
5,38.72,40.2,5
6,38.85,40.86,5
7,38.96,41.52,5
8,39.06,42.18,5
9,39.15,42.84,5
10,39.23,43.5,5
11,39.31,44.16,5
12,39.38,44.81,5
13,39.45,45.46,5
14,39.51,46.11,5
15,39.57,46.75,5
16,39.63,47.39,5
17,39.68,48.01,5
18,39.74,48.63,5
19,39.79,49.24,5
20,39.83,49.85,5
21,39.88,50.45,5
22,39.92,51.03,5
23,39.96,51.61,5
24,40,52.19,5
25,40.04,52.75,5
26,40.08,53.31,5
27,40.11,53.86,5
28,40.15,54.4,5
29,40.18,54.93,5
30,40.22,55.45,5
31,40.25,55.97,5
32,40.28,56.48,5
33,40.31,56.99,5
34,40.34,57.48,5
35,40.37,57.97,5
36,40.4,58.45,5
37,40.42,58.93,5
38,40.45,59.4,5
39,40.48,59.86,5
40,40.5,60.31,5
41,40.53,60.76,5
42,40.55,61.21,5
43,40.58,61.64,5
44,40.6,62.07,5
45,40.62,62.5,5
46,40.64,62.92,5
47,40.67,63.34,5
48,40.69,63.74,5
49,40.71,64.15,5
50,40.73,64.55,5
51,40.75,64.94,5
52,40.77,65.33,5
53,40.79,65.71,5
54,40.81,66.09,5
55,40.83,66.47,5
56,40.85,66.84,5
57,40.86,67.2,5
58,40.88,67.57,5
59,40.9,67.92,5
60,40.92,68.28,5
61,40.93,68.62,5
62,40.95,68.97,5
63,40.97,69.31,5
64,40.98,69.65,5
65,41,69.98,5
66,41.01,70.31,5
67,41.03,70.63,5
68,41.05,70.96,5
69,41.06,71.27,5
70,41.08,71.59,5
71,41.09,71.9,5
72,41.11,72.21,5
73,41.12,72.51,5
74,41.13,72.82,5
75,41.15,73.11,5
76,41.16,73.41,5
77,41.17,73.7,5
78,41.19,73.99,5
79,41.2,74.28,5
80,41.21,74.56,5
81,41.23,74.84,5
82,41.24,75.12,5
83,41.25,75.39,5
84,41.27,75.67,5
85,41.28,75.94,5
86,41.29,76.2,5
87,41.3,76.47,5
