t,surface,5mm,x,y
1,38.17,37.37,0,0
2,38.6,37.75,0,0
3,38.89,38.13,0,0
4,39.12,38.51,0,0
5,39.31,38.89,0,0
6,39.47,39.27,0,0
7,39.61,39.66,0,0
8,39.74,40.04,0,0
9,39.85,40.43,0,0
10,39.96,40.82,0,0
11,40.06,41.22,0,0
12,40.15,41.61,0,0
13,40.23,42.01,0,0
14,40.31,42.4,0,0
15,40.39,42.8,0,0
16,40.46,43.21,0,0
17,40.52,43.61,0,0
18,40.59,44.01,0,0
19,40.65,44.42,0,0
20,40.71,44.82,0,0
21,40.76,45.23,0,0
22,40.82,45.64,0,0
23,40.87,46.05,0,0
24,40.92,46.45,0,0
25,40.97,46.86,0,0
26,41.01,47.27,0,0
27,41.06,47.67,0,0
28,41.1,48.08,0,0
29,41.14,48.49,0,0
30,41.18,48.89,0,0
31,41.22,49.29,0,0
32,41.26,49.7,0,0
33,41.3,50.1,0,0
34,41.34,50.5,0,0
35,41.37,50.9,0,0
36,41.41,51.29,0,0
37,41.44,51.69,0,0
38,41.47,52.08,0,0
39,41.5,52.47,0,0
40,41.54,52.86,0,0
41,41.57,53.25,0,0
42,41.6,53.63,0,0
43,41.62,54.02,0,0
44,41.65,54.4,0,0
45,41.68,54.78,0,0
46,41.71,55.15,0,0
47,41.74,55.53,0,0
48,41.76,55.9,0,0
49,41.79,56.27,0,0
50,41.81,56.64,0,0
51,41.84,57.01,0,0
52,41.86,57.37,0,0
53,41.89,57.73,0,0
54,41.91,58.09,0,0
55,41.93,58.44,0,0
56,41.96,58.8,0,0
57,41.98,59.15,0,0
58,42,59.5,0,0
59,42.02,59.85,0,0
60,42.04,60.19,0,0
61,42.07,60.53,0,0
62,42.09,60.87,0,0
63,42.11,61.21,0,0
64,42.13,61.55,0,0
65,42.15,61.88,0,0
66,42.17,62.21,0,0
67,42.18,62.54,0,0
68,42.2,62.86,0,0
69,42.22,63.19,0,0
70,42.24,63.51,0,0
71,42.26,63.83,0,0
72,42.28,64.15,0,0
73,42.29,64.46,0,0
74,42.31,64.77,0,0
75,42.33,65.08,0,0
76,42.34,65.39,0,0
77,42.36,65.7,0,0
78,42.38,66,0,0
79,42.39,66.31,0,0
80,42.41,66.6,0,0
81,42.43,66.9,0,0
82,42.44,67.2,0,0
83,42.46,67.49,0,0
84,42.47,67.78,0,0
85,42.49,68.07,0,0
86,42.5,68.36,0,0
87,42.52,68.65,0,0
88,42.53,68.93,0,0
89,42.55,69.21,0,0
90,42.56,69.49,0,0
91,42.57,69.77,0,0
92,42.59,70.04,0,0
93,42.6,70.32,0,0
94,42.61,70.59,0,0
95,42.63,70.86,0,0
96,42.64,71.13,0,0
97,42.65,71.4,0,0
98,42.67,71.66,0,0
99,42.68,71.92,0,0
100,42.69,72.18,0,0
101,42.71,72.44,0,0
102,42.72,72.7,0,0
103,42.73,72.96,0,0
104,42.74,73.21,0,0
105,42.75,73.46,0,0
106,42.77,73.71,0,0
107,42.78,73.96,0,0
108,42.79,74.21,0,0
109,42.8,74.46,0,0
110,42.81,74.7,0,0
111,42.82,74.94,0,0
112,42.84,75.19,0,0
113,42.85,75.42,0,0
114,42.86,75.66,0,0
115,42.87,75.9,0,0
116,42.88,76.13,0,0
117,42.89,76.37,0,0
118,42.9,76.6,0,0
119,42.91,76.83,0,0
120,42.92,77.06,0,0
121,42.93,77.29,0,0
122,42.94,77.51,0,0
123,42.95,77.74,0,0
124,42.96,77.96,0,0
125,42.97,78.18,0,0
126,42.98,78.4,0,0
127,42.99,78.62,0,0
128,43,78.84,0,0
129,43.01,79.05,0,0
130,43.02,79.27,0,0
131,43.03,79.48,0,0
132,43.04,79.69,0,0
133,43.05,79.9,0,0
134,43.06,80.11,0,0
135,43.07,80.32,0,0
136,43.08,80.53,0,0
137,43.09,80.73,0,0
138,43.09,80.94,0,0
139,43.1,81.14,0,0
140,43.11,81.34,0,0
141,43.12,81.54,0,0
142,43.13,81.74,0,0
143,43.14,81.94,0,0
144,43.15,82.14,0,0
145,43.16,82.33,0,0
146,43.16,82.53,0,0
147,43.17,82.72,0,0
148,43.18,82.91,0,0
149,43.19,83.1,0,0
150,43.2,83.29,0,0
151,43.2,83.48,0,0
152,43.21,83.67,0,0
153,43.22,83.86,0,0
154,43.23,84.04,0,0
155,43.24,84.23,0,0
156,43.24,84.41,0,0
157,43.25,84.59,0,0
158,43.26,84.77,0,0
159,43.27,84.95,0,0
160,43.27,85.13,0,0
161,43.28,85.31,0,0
162,43.28,85.48,0,0
163,43.29,85.66,0,0
164,43.29,85.83,0,0
165,43.3,86,0,0
166,43.3,86.17,0,0
167,43.3,86.33,0,0
168,43.31,86.5,0,0
169,43.31,86.66,0,0
170,43.31,86.82,0,0
171,43.31,86.98,0,0
172,43.32,87.14,0,0
173,43.32,87.3,0,0
174,43.32,87.45,0,0
175,43.32,87.6,0,0
176,43.33,87.75,0,0
177,43.33,87.9,0,0
178,43.33,88.05,0,0
179,43.33,88.19,0,0
180,43.33,88.34,0,0
181,43.33,88.48,0,0
182,43.34,88.62,0,0
183,43.34,88.75,0,0
184,43.34,88.89,0,0
185,43.34,89.02,0,0
186,43.34,89.15,0,0
187,43.34,89.28,0,0
188,43.34,89.41,0,0
189,43.34,89.54,0,0
190,43.34,89.67,0,0
191,43.34,89.79,0,0
192,43.35,89.91,0,0
193,43.35,90.03,0,0
194,43.35,90.15,0,0
195,43.35,90.27,0,0
196,43.35,90.39,0,0
197,43.35,90.5,0,0
198,43.35,90.62,0,0
199,43.35,90.73,0,0
200,43.35,90.84,0,0
201,43.35,90.95,0,0
202,43.35,91.06,0,0
203,43.35,91.16,0,0
204,43.35,91.27,0,0
205,43.35,91.37,0,0
206,43.35,91.47,0,0
207,43.35,91.57,0,0
208,43.35,91.67,0,0
209,43.35,91.77,0,0
210,43.35,91.87,0,0
211,43.36,91.96,0,0
212,43.36,92.06,0,0
213,43.36,92.15,0,0
214,43.36,92.24,0,0
215,43.36,92.33,0,0
216,43.36,92.42,0,0
217,43.36,92.51,0,0
218,43.36,92.6,0,0
219,43.36,92.68,0,0
220,43.36,92.77,0,0
221,43.36,92.85,0,0
222,43.36,92.93,0,0
223,43.36,93.02,0,0
224,43.36,93.1,0,0
225,43.36,93.18,0,0
226,43.36,93.26,0,0
227,43.36,93.34,0,0
228,43.36,93.41,0,0
229,43.36,93.49,0,0
230,43.36,93.56,0,0
231,43.36,93.64,0,0
232,43.36,93.71,0,0
233,43.36,93.79,0,0
234,43.36,93.86,0,0
235,43.36,93.93,0,0
236,43.36,94,0,0
237,43.36,94.07,0,0
238,43.36,94.13,0,0
239,43.36,94.2,0,0
240,43.36,94.27,0,0
241,43.36,94.33,0,0
242,43.36,94.4,0,0
243,43.36,94.46,0,0
244,43.36,94.52,0,0
245,43.36,94.58,0,0
246,43.36,94.64,0,0
247,43.36,94.7,0,0
248,43.36,94.76,0,0
249,43.36,94.82,0,0
250,43.36,94.88,0,0
251,43.36,94.93,0,0
252,43.36,94.99,0,0
253,43.36,95.04,0,0
254,43.36,95.1,0,0
255,43.36,95.15,0,0
256,43.36,95.21,0,0
257,43.36,95.26,0,0
258,43.36,95.31,0,0
259,43.36,95.36,0,0
260,43.36,95.41,0,0
261,43.36,95.46,0,0
262,43.37,95.51,0,0
263,43.37,95.56,0,0
264,43.37,95.61,0,0
265,43.37,95.66,0,0
266,43.37,95.71,0,0
267,43.37,95.75,0,0
268,43.37,95.8,0,0
269,43.37,95.84,0,0
270,43.37,95.89,0,0
271,43.37,95.93,0,0
272,43.37,95.98,0,0
273,43.37,96.02,0,0
274,43.37,96.07,0,0
275,43.37,96.11,0,0
276,43.37,96.15,0,0
277,43.37,96.19,0,0
278,43.37,96.23,0,0
279,43.37,96.28,0,0
280,43.37,96.32,0,0
281,43.37,96.36,0,0
282,43.37,96.4,0,0
283,43.37,96.44,0,0
284,43.37,96.47,0,0
285,43.37,96.51,0,0
286,43.37,96.55,0,0
287,43.37,96.59,0,0
288,43.37,96.62,0,0
289,43.37,96.66,0,0
290,43.37,96.69,0,0
291,43.37,96.73,0,0
292,43.37,96.76,0,0
293,43.37,96.8,0,0
294,43.37,96.83,0,0
295,43.37,96.86,0,0
296,43.37,96.89,0,0
297,43.37,96.93,0,0
298,43.37,96.96,0,0
299,43.37,96.99,0,0
300,43.37,97.02,0,0
1,39.76,37.41,1,0
2,40.54,37.82,1,0
3,41.03,38.23,1,0
4,41.39,38.65,1,0
5,41.68,39.07,1,0
6,41.92,39.49,1,0
7,42.13,39.91,1,0
8,42.31,40.34,1,0
9,42.47,40.77,1,0
10,42.61,41.2,1,0
11,42.74,41.64,1,0
12,42.86,42.08,1,0
13,42.98,42.52,1,0
14,43.08,42.96,1,0
15,43.18,43.41,1,0
16,43.27,43.86,1,0
17,43.35,44.31,1,0
18,43.43,44.77,1,0
19,43.51,45.22,1,0
20,43.58,45.68,1,0
21,43.65,46.14,1,0
22,43.72,46.6,1,0
23,43.78,47.06,1,0
24,43.84,47.52,1,0
25,43.90,47.99,1,0
26,43.96,48.45,1,0
27,44.01,48.91,1,0
28,44.06,49.37,1,0
29,44.11,49.83,1,0
30,44.16,50.29,1,0
31,44.21,50.74,1,0
32,44.26,51.2,1,0
33,44.30,51.66,1,0
34,44.34,52.11,1,0
35,44.38,52.56,1,0
36,44.43,53.01,1,0
37,44.46,53.46,1,0
38,44.50,53.9,1,0
39,44.54,54.35,1,0
40,44.58,54.79,1,0
41,44.61,55.23,1,0
42,44.65,55.66,1,0
43,44.68,56.1,1,0
44,44.71,56.53,1,0
45,44.75,56.95,1,0
46,44.78,57.38,1,0
47,44.81,57.8,1,0
48,44.84,58.22,1,0
49,44.87,58.64,1,0
50,44.90,59.06,1,0
51,44.93,59.47,1,0
52,44.95,59.88,1,0
53,44.98,60.28,1,0
54,45.01,60.69,1,0
55,45.03,61.09,1,0
56,45.06,61.48,1,0
57,45.09,61.88,1,0
58,45.11,62.27,1,0
59,45.13,62.66,1,0
60,45.16,63.05,1,0
61,45.18,63.43,1,0
62,45.21,63.81,1,0
63,45.23,64.19,1,0
64,45.25,64.56,1,0
65,45.27,64.93,1,0
66,45.29,65.3,1,0
67,45.32,65.67,1,0
68,45.34,66.03,1,0
69,45.36,66.39,1,0
70,45.38,66.75,1,0
71,45.40,67.11,1,0
72,45.42,67.46,1,0
73,45.44,67.81,1,0
74,45.46,68.16,1,0
75,45.47,68.51,1,0
76,45.49,68.85,1,0
77,45.51,69.19,1,0
78,45.53,69.53,1,0
79,45.55,69.86,1,0
80,45.57,70.19,1,0
81,45.58,70.52,1,0
82,45.60,70.85,1,0
83,45.62,71.18,1,0
84,45.63,71.5,1,0
85,45.65,71.82,1,0
86,45.67,72.14,1,0
87,45.68,72.45,1,0
88,45.70,72.76,1,0
89,45.71,73.08,1,0
90,45.73,73.38,1,0
91,45.75,73.69,1,0
92,45.76,73.99,1,0
93,45.78,74.3,1,0
94,45.79,74.6,1,0
95,45.80,74.89,1,0
96,45.82,75.19,1,0
97,45.83,75.48,1,0
98,45.84,75.77,1,0
99,45.85,76.06,1,0
100,45.86,76.35,1,0
101,45.87,76.63,1,0
102,45.87,76.91,1,0
103,45.88,77.19,1,0
104,45.89,77.47,1,0
105,45.90,77.74,1,0
106,45.90,78.02,1,0
107,45.91,78.29,1,0
108,45.91,78.55,1,0
109,45.92,78.82,1,0
110,45.92,79.08,1,0
111,45.93,79.34,1,0
112,45.93,79.6,1,0
113,45.94,79.85,1,0
114,45.94,80.1,1,0
115,45.94,80.35,1,0
116,45.95,80.6,1,0
117,45.95,80.84,1,0
118,45.95,81.08,1,0
119,45.95,81.32,1,0
120,45.96,81.56,1,0
121,45.96,81.79,1,0
122,45.96,82.02,1,0
123,45.96,82.25,1,0
124,45.97,82.47,1,0
125,45.97,82.7,1,0
126,45.97,82.92,1,0
127,45.97,83.14,1,0
128,45.97,83.35,1,0
129,45.98,83.56,1,0
130,45.98,83.77,1,0
131,45.98,83.98,1,0
132,45.98,84.19,1,0
133,45.98,84.39,1,0
134,45.98,84.59,1,0
135,45.98,84.79,1,0
136,45.98,84.98,1,0
137,45.99,85.18,1,0
138,45.99,85.37,1,0
139,45.99,85.56,1,0
140,45.99,85.74,1,0
141,45.99,85.93,1,0
142,45.99,86.11,1,0
143,45.99,86.29,1,0
144,45.99,86.46,1,0
145,45.99,86.64,1,0
146,45.99,86.81,1,0
147,45.99,86.98,1,0
148,46.00,87.15,1,0
149,46.00,87.31,1,0
150,46.00,87.48,1,0
151,46.00,87.64,1,0
152,46.00,87.8,1,0
153,46.00,87.95,1,0
154,46.00,88.11,1,0
155,46.00,88.26,1,0
156,46.00,88.42,1,0
157,46.00,88.57,1,0
158,46.00,88.71,1,0
159,46.00,88.86,1,0
160,46.00,89,1,0
161,46.00,89.15,1,0
162,46.00,89.29,1,0
163,46.00,89.43,1,0
164,46.00,89.56,1,0
165,46.00,89.7,1,0
166,46.00,89.83,1,0
167,46.00,89.96,1,0
168,46.00,90.09,1,0
169,46.00,90.22,1,0
170,46.00,90.35,1,0
171,46.00,90.47,1,0
172,46.01,90.59,1,0
173,46.01,90.71,1,0
174,46.01,90.83,1,0
175,46.01,90.95,1,0
176,46.01,91.07,1,0
177,46.01,91.18,1,0
178,46.01,91.3,1,0
179,46.01,91.41,1,0
180,46.01,91.52,1,0
181,46.01,91.63,1,0
182,46.01,91.73,1,0
183,46.01,91.84,1,0
184,46.01,91.94,1,0
185,46.01,92.05,1,0
186,46.01,92.15,1,0
187,46.01,92.25,1,0
188,46.01,92.35,1,0
189,46.01,92.45,1,0
190,46.01,92.55,1,0
191,46.01,92.64,1,0
192,46.01,92.74,1,0
193,46.01,92.83,1,0
194,46.01,92.93,1,0
195,46.01,93.02,1,0
196,46.01,93.11,1,0
197,46.01,93.2,1,0
198,46.01,93.28,1,0
199,46.01,93.37,1,0
200,46.01,93.45,1,0
201,46.01,93.54,1,0
202,46.01,93.62,1,0
203,46.01,93.7,1,0
204,46.01,93.78,1,0
205,46.01,93.86,1,0
206,46.01,93.94,1,0
207,46.01,94.01,1,0
208,46.01,94.09,1,0
209,46.01,94.16,1,0
210,46.01,94.24,1,0
211,46.01,94.31,1,0
212,46.01,94.38,1,0
213,46.01,94.45,1,0
214,46.01,94.52,1,0
215,46.01,94.59,1,0
216,46.01,94.66,1,0
217,46.01,94.73,1,0
218,46.01,94.79,1,0
219,46.01,94.86,1,0
220,46.01,94.92,1,0
221,46.01,94.99,1,0
222,46.01,95.05,1,0
223,46.01,95.11,1,0
224,46.01,95.17,1,0
225,46.01,95.23,1,0
226,46.01,95.29,1,0
227,46.01,95.35,1,0
228,46.01,95.41,1,0
229,46.01,95.47,1,0
230,46.01,95.53,1,0
231,46.01,95.58,1,0
232,46.01,95.64,1,0
233,46.01,95.69,1,0
234,46.01,95.75,1,0
235,46.01,95.8,1,0
236,46.01,95.86,1,0
237,46.01,95.91,1,0
238,46.01,95.96,1,0
239,46.01,96.01,1,0
240,46.01,96.06,1,0
241,46.01,96.11,1,0
242,46.01,96.16,1,0
243,46.01,96.21,1,0
244,46.01,96.26,1,0
245,46.01,96.31,1,0
246,46.01,96.35,1,0
247,46.01,96.4,1,0
248,46.01,96.44,1,0
249,46.01,96.48,1,0
250,46.01,96.53,1,0
251,46.01,96.57,1,0
252,46.01,96.61,1,0
253,46.01,96.65,1,0
254,46.01,96.69,1,0
255,46.01,96.73,1,0
256,46.01,96.77,1,0
257,46.01,96.81,1,0
258,46.01,96.85,1,0
259,46.01,96.89,1,0
260,46.01,96.92,1,0
261,46.01,96.96,1,0
262,46.01,97,1,0
263,46.01,97.03,1,0
264,46.01,97.07,1,0
265,46.01,97.1,1,0
266,46.01,97.14,1,0
267,46.01,97.17,1,0
268,46.01,97.2,1,0
269,46.01,97.24,1,0
270,46.01,97.27,1,0
271,46.01,97.3,1,0
272,46.01,97.33,1,0
273,46.01,97.36,1,0
274,46.01,97.4,1,0
275,46.01,97.43,1,0
276,46.01,97.46,1,0
277,46.01,97.49,1,0
278,46.01,97.52,1,0
279,46.01,97.55,1,0
280,46.01,97.57,1,0
281,46.01,97.6,1,0
282,46.01,97.63,1,0
283,46.01,97.66,1,0
284,46.01,97.69,1,0
285,46.01,97.71,1,0
286,46.01,97.74,1,0
287,46.01,97.77,1,0
288,46.01,97.8,1,0
289,46.01,97.82,1,0
290,46.01,97.85,1,0
291,46.01,97.87,1,0
292,46.01,97.9,1,0
293,46.01,97.92,1,0
294,46.01,97.95,1,0
295,46.01,97.97,1,0
296,46.01,98,1,0
297,46.01,98.02,1,0
298,46.01,98.05,1,0
299,46.01,98.07,1,0
300,46.01,98.09,1,0
1,38.05,37.37,0,1
2,38.44,37.73,0,1
3,38.71,38.1,0,1
4,38.93,38.47,0,1
5,39.11,38.85,0,1
6,39.26,39.22,0,1
7,39.40,39.6,0,1
8,39.52,39.98,0,1
9,39.63,40.36,0,1
10,39.74,40.74,0,1
11,39.83,41.12,0,1
12,39.92,41.51,0,1
13,40.00,41.89,0,1
14,40.08,42.28,0,1
15,40.15,42.67,0,1
16,40.22,43.07,0,1
17,40.29,43.46,0,1
18,40.35,43.85,0,1
19,40.41,44.25,0,1
20,40.47,44.65,0,1
21,40.52,45.04,0,1
22,40.58,45.44,0,1
23,40.63,45.84,0,1
24,40.68,46.24,0,1
25,40.73,46.64,0,1
26,40.77,47.04,0,1
27,40.82,47.43,0,1
28,40.86,47.83,0,1
29,40.90,48.23,0,1
30,40.94,48.62,0,1
31,40.98,49.02,0,1
32,41.02,49.41,0,1
33,41.05,49.81,0,1
34,41.09,50.2,0,1
35,41.13,50.59,0,1
36,41.16,50.98,0,1
37,41.19,51.36,0,1
38,41.23,51.75,0,1
39,41.26,52.13,0,1
40,41.29,52.52,0,1
41,41.32,52.9,0,1
42,41.35,53.27,0,1
43,41.38,53.65,0,1
44,41.41,54.02,0,1
45,41.43,54.4,0,1
46,41.46,54.77,0,1
47,41.49,55.14,0,1
48,41.51,55.5,0,1
49,41.54,55.87,0,1
50,41.57,56.23,0,1
51,41.59,56.59,0,1
52,41.61,56.94,0,1
53,41.64,57.3,0,1
54,41.66,57.65,0,1
55,41.69,58,0,1
56,41.71,58.35,0,1
57,41.73,58.7,0,1
58,41.75,59.04,0,1
59,41.77,59.38,0,1
60,41.79,59.72,0,1
61,41.82,60.06,0,1
62,41.84,60.4,0,1
63,41.86,60.73,0,1
64,41.88,61.06,0,1
65,41.90,61.39,0,1
66,41.92,61.71,0,1
67,41.93,62.04,0,1
68,41.95,62.36,0,1
69,41.97,62.68,0,1
70,41.99,63,0,1
71,42.01,63.31,0,1
72,42.03,63.62,0,1
73,42.04,63.94,0,1
74,42.06,64.24,0,1
75,42.08,64.55,0,1
76,42.09,64.85,0,1
77,42.11,65.16,0,1
78,42.13,65.46,0,1
79,42.14,65.76,0,1
80,42.16,66.05,0,1
81,42.17,66.35,0,1
82,42.19,66.64,0,1
83,42.21,66.93,0,1
84,42.22,67.22,0,1
85,42.24,67.5,0,1
86,42.25,67.79,0,1
87,42.27,68.07,0,1
88,42.28,68.35,0,1
89,42.29,68.63,0,1
90,42.31,68.91,0,1
91,42.32,69.18,0,1
92,42.34,69.45,0,1
93,42.35,69.72,0,1
94,42.36,69.99,0,1
95,42.38,70.26,0,1
96,42.39,70.53,0,1
97,42.40,70.79,0,1
98,42.42,71.05,0,1
99,42.43,71.31,0,1
100,42.44,71.57,0,1
101,42.45,71.83,0,1
102,42.47,72.08,0,1
103,42.48,72.34,0,1
104,42.49,72.59,0,1
105,42.50,72.84,0,1
106,42.51,73.09,0,1
107,42.53,73.33,0,1
108,42.54,73.58,0,1
109,42.55,73.82,0,1
110,42.56,74.06,0,1
111,42.57,74.3,0,1
112,42.58,74.54,0,1
113,42.59,74.78,0,1
114,42.60,75.02,0,1
115,42.62,75.25,0,1
116,42.63,75.48,0,1
117,42.64,75.71,0,1
118,42.65,75.94,0,1
119,42.66,76.17,0,1
120,42.67,76.4,0,1
121,42.68,76.62,0,1
122,42.69,76.85,0,1
123,42.70,77.07,0,1
124,42.71,77.29,0,1
125,42.72,77.51,0,1
126,42.73,77.73,0,1
127,42.73,77.95,0,1
128,42.74,78.16,0,1
129,42.75,78.38,0,1
130,42.76,78.59,0,1
131,42.77,78.8,0,1
132,42.78,79.01,0,1
133,42.79,79.22,0,1
134,42.80,79.43,0,1
135,42.80,79.63,0,1
136,42.81,79.84,0,1
137,42.82,80.04,0,1
138,42.83,80.24,0,1
139,42.84,80.44,0,1
140,42.84,80.64,0,1
141,42.85,80.84,0,1
142,42.86,81.04,0,1
143,42.87,81.23,0,1
144,42.87,81.43,0,1
145,42.88,81.62,0,1
146,42.89,81.81,0,1
147,42.90,82,0,1
148,42.90,82.19,0,1
149,42.91,82.38,0,1
150,42.92,82.57,0,1
151,42.92,82.76,0,1
152,42.93,82.94,0,1
153,42.93,83.12,0,1
154,42.94,83.3,0,1
155,42.95,83.48,0,1
156,42.95,83.66,0,1
157,42.96,83.84,0,1
158,42.96,84.02,0,1
159,42.97,84.19,0,1
160,42.97,84.37,0,1
161,42.98,84.54,0,1
162,42.98,84.71,0,1
163,42.99,84.88,0,1
164,42.99,85.05,0,1
165,43.00,85.22,0,1
166,43.00,85.38,0,1
167,43.01,85.55,0,1
168,43.01,85.71,0,1
169,43.02,85.87,0,1
170,43.02,86.03,0,1
171,43.02,86.19,0,1
172,43.03,86.35,0,1
173,43.03,86.5,0,1
174,43.03,86.66,0,1
175,43.04,86.81,0,1
176,43.04,86.96,0,1
177,43.05,87.11,0,1
178,43.05,87.26,0,1
179,43.05,87.41,0,1
180,43.05,87.55,0,1
181,43.06,87.7,0,1
182,43.06,87.84,0,1
183,43.06,87.98,0,1
184,43.07,88.12,0,1
185,43.07,88.25,0,1
186,43.07,88.39,0,1
187,43.07,88.52,0,1
188,43.08,88.66,0,1
189,43.08,88.79,0,1
190,43.08,88.92,0,1
191,43.08,89.04,0,1
192,43.08,89.17,0,1
193,43.09,89.3,0,1
194,43.09,89.42,0,1
195,43.09,89.54,0,1
196,43.09,89.66,0,1
197,43.09,89.78,0,1
198,43.09,89.9,0,1
199,43.10,90.02,0,1
200,43.10,90.13,0,1
201,43.10,90.24,0,1
202,43.10,90.36,0,1
203,43.10,90.47,0,1
204,43.10,90.58,0,1
205,43.10,90.69,0,1
206,43.10,90.79,0,1
207,43.11,90.9,0,1
208,43.11,91,0,1
209,43.11,91.11,0,1
210,43.11,91.21,0,1
211,43.11,91.31,0,1
212,43.11,91.41,0,1
213,43.11,91.5,0,1
214,43.11,91.6,0,1
215,43.11,91.69,0,1
216,43.11,91.79,0,1
217,43.11,91.88,0,1
218,43.12,91.97,0,1
219,43.12,92.06,0,1
220,43.12,92.15,0,1
221,43.12,92.24,0,1
222,43.12,92.33,0,1
223,43.12,92.41,0,1
224,43.12,92.5,0,1
225,43.12,92.58,0,1
226,43.12,92.66,0,1
227,43.12,92.75,0,1
228,43.12,92.83,0,1
229,43.12,92.91,0,1
230,43.12,92.99,0,1
231,43.12,93.06,0,1
232,43.12,93.14,0,1
233,43.12,93.22,0,1
234,43.12,93.29,0,1
235,43.12,93.37,0,1
236,43.12,93.44,0,1
237,43.12,93.51,0,1
238,43.12,93.58,0,1
239,43.12,93.66,0,1
240,43.13,93.73,0,1
241,43.13,93.8,0,1
242,43.13,93.86,0,1
243,43.13,93.93,0,1
244,43.13,94,0,1
245,43.13,94.06,0,1
246,43.13,94.13,0,1
247,43.13,94.19,0,1
248,43.13,94.25,0,1
249,43.13,94.32,0,1
250,43.13,94.38,0,1
251,43.13,94.44,0,1
252,43.13,94.5,0,1
253,43.13,94.56,0,1
254,43.13,94.61,0,1
255,43.13,94.67,0,1
256,43.13,94.73,0,1
257,43.13,94.78,0,1
258,43.13,94.84,0,1
259,43.13,94.89,0,1
260,43.13,94.95,0,1
261,43.13,95,0,1
262,43.13,95.05,0,1
263,43.13,95.1,0,1
264,43.13,95.16,0,1
265,43.13,95.21,0,1
266,43.13,95.26,0,1
267,43.13,95.31,0,1
268,43.13,95.35,0,1
269,43.13,95.4,0,1
270,43.13,95.45,0,1
271,43.13,95.5,0,1
272,43.13,95.54,0,1
273,43.13,95.59,0,1
274,43.13,95.64,0,1
275,43.13,95.68,0,1
276,43.13,95.72,0,1
277,43.13,95.77,0,1
278,43.13,95.81,0,1
279,43.13,95.86,0,1
280,43.13,95.9,0,1
281,43.13,95.94,0,1
282,43.13,95.98,0,1
283,43.13,96.02,0,1
284,43.13,96.06,0,1
285,43.13,96.1,0,1
286,43.13,96.14,0,1
287,43.13,96.18,0,1
288,43.13,96.22,0,1
289,43.13,96.26,0,1
290,43.13,96.3,0,1
291,43.13,96.34,0,1
292,43.13,96.37,0,1
293,43.13,96.41,0,1
294,43.13,96.45,0,1
295,43.13,96.48,0,1
296,43.13,96.52,0,1
297,43.13,96.56,0,1
298,43.13,96.59,0,1
299,43.13,96.62,0,1
300,43.13,96.66,0,1
